occ_code,title,JobFamily,isBright,isGreen,JobZone,MedianSalary,pct_computer,pct_physical,pct_communication,pct_analyze,pct_manage,pct_creative,pct_textnative,observed_exposure
31-9099,"Healthcare Support Workers, All Other",Healthcare Support,1,0,2,48800.7,0.0869565217391304,0.0869565217391304,0.7391304347826086,0.2608695652173913,0.1739130434782608,0.0,0.0434782608695652,0.0
33-1011,First-Line Supervisors of Correctional Officers,Protective Service,0,0,3,81708.6,0.0,0.0909090909090909,0.4090909090909091,0.2727272727272727,0.3636363636363636,0.0,0.0,0.0315
33-1012,First-Line Supervisors of Police and Detectives,Protective Service,0,0,3,114848.7,0.05,0.0,0.45,0.3,0.45,0.0,0.15,0.0
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,Protective Service,0,0,2,98465.7,0.1481481481481481,0.2222222222222222,0.4629629629629629,0.5185185185185185,0.2592592592592592,0.0,0.1111111111111111,0.0
33-2011,Firefighters,Protective Service,0,0,1,64009.8,0.0208333333333333,0.3125,0.2708333333333333,0.1666666666666666,0.125,0.0208333333333333,0.0208333333333333,0.0
33-2021,Fire Inspectors and Investigators,Protective Service,0,0,2,80637.90000000001,0.3513513513513513,0.2162162162162162,0.4324324324324324,0.5675675675675675,0.1081081081081081,0.027027027027027,0.054054054054054,0.0
33-2022,Forest Fire Inspectors and Prevention Specialists,Protective Service,1,0,3,51084.0,0.0714285714285714,0.2857142857142857,0.2142857142857142,0.3571428571428571,0.2857142857142857,0.0,0.0714285714285714,0.0
33-3011,Bailiffs,Protective Service,0,0,2,59030.4,0.0,0.0769230769230769,0.3076923076923077,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,0.0
33-3012,Correctional Officers and Jailers,Protective Service,0,0,2,57185.7,0.0384615384615384,0.0384615384615384,0.3076923076923077,0.2692307692307692,0.2307692307692307,0.0,0.0,0.0
33-3021,Detectives and Criminal Investigators,Protective Service,0,0,2,105676.8,0.0729166666666666,0.0520833333333333,0.4791666666666667,0.4479166666666667,0.15625,0.0729166666666666,0.0416666666666666,0.0374
33-3031,Fish and Game Wardens,Protective Service,0,1,4,74445.90000000001,0.0833333333333333,0.1666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.0416666666666666,0.0,0.0
33-3041,Parking Enforcement Workers,Protective Service,0,0,2,51393.6,0.1304347826086956,0.1739130434782608,0.3043478260869565,0.217391304347826,0.2608695652173913,0.0434782608695652,0.0,0.0
33-3051,Police and Sheriff's Patrol Officers,Protective Service,0,0,2,79180.2,0.0,0.2285714285714285,0.3714285714285714,0.4285714285714285,0.2,0.0571428571428571,0.0285714285714285,0.1234
33-3052,Transit and Railroad Police,Protective Service,0,0,3,95498.7,0.0909090909090909,0.1818181818181818,0.4545454545454545,0.5454545454545454,0.4545454545454545,0.0,0.0909090909090909,0.0
33-9011,Animal Control Workers,Protective Service,0,0,2,46865.7,0.0,0.0625,0.375,0.25,0.125,0.0625,0.0625,0.0
